Aastad township,213
Abbeville city,2624
Abbeville County,24965
Abbeville town,438
Abbot town,701
Abbotsford city,2278
Abbotsford city (pt.),1600
Abbott city,358
Abbott township,238
Abbottstown borough,1013
Abbyville city,88
Abercrombie city,260
Abercrombie township,267
Aberdeen city,1951
Aberdeen town,7131
Aberdeen township,18292
Aberdeen village,1618
Abernathy city,2750
Abernathy city (pt.),2038
Abie village,68
Abilene city,6590
Abilene city (pt.),5665
Abingdon city,3226
Abingdon city (pt.),2137
Abingdon town,8146
Abington town,16197
Abington township,380
Abita Springs town,2479
Aboite township,36993
Abrams town,1851
Absecon city,8376
Acadia Parish,62486
Accident town,319
Accomac town,496
Accomack County,33021
Acequia city,124
Achille town,507
Achilles township,47
Ackerly city,229
Ackerly city (pt.),159
Ackerman town,1484
Ackley city,1550
Ackley city (pt.),39
Ackley town,512
Ackworth city,83
Acme township,4625
Acoma township,1131
Acton town,2545
Acton township,375
Acushnet town,10410
Acworth city,21867
Acworth town,889
Ada city,1650
Ada County,426236
Ada township,14040
Ada village,5832
Adair city,752
Adair city (pt.),733
Adair County,7454
Adair town,818
Adair Village city,815
Adairsville city,4738
Adairville city,889
Adak city,333
Adams city,785
Adams County,480718
Adams town,8271
Adams township,1605
Adams village,588
Adamsburg borough,169
Adamstown borough,1837
Adamstown borough (pt.),14
Adamsville city,4435
Adamsville town,2258
Adamsville town (pt.),47
Adamsville village,115
Addie township,61
Addieville village,243
Addieville village (pt.),136
Addington town,109
Addis town,4431
Addison (Webster Springs) town,741
Addison borough,202
Addison County,37009
Addison town,749
Addison township,89830
Addison village,37297
Addison village (pt.),32411
Addyston village,934
Adel city,5339
Adelaide township,30
Adelanto city,32728
Adeline village,83
Adell township,12
Adell village,520
Adelphi village,373
Adena village,735
Adena village (pt.),122
Adler township,29
Admire city,154
Adona city,205
Adrian city,651
Adrian city (pt.),274
Adrian town,774
Adrian township,6278
Advance city,1364
Advance town,509
Advance township,126
Aetna township,526
Afton city,842
Afton town,2811
Afton township,865
Afton village,818
Agar town,78
Agassiz township,98
Agawam Town city,28772
Agder township,109
Agency city,636
Agency township,539
Agency village,675
Agenda city,66
Agenda town,422
Agnes City township,425
Agnes township,71
Agoura Hills city,20843
Agra city,255
Agra town,342
Agram township,570
Agua Dulce city,825
Aguilar town,479
Ahmeek village,150
Ahnapee town,924
Ahoskie town,4973
Aid township,860
Aiken city,30258
Aiken County,164753
Ailey city,551
Ainsworth city,568
Ainsworth town,457
Airmont village,8878
Airport Drive village,836
Airway Heights city,6545
Aitkin city,2079
Aitkin County,15771
Aitkin township,838
Akan town,396
Akaska town,42
Akeley city,431
Akeley township,559
Akhiok city,73
Akiak city,363
Akra township,225
Akron borough,3978
Akron city,1456
Akron town,338
Akron township,1066
Akron village,394
Akron village (pt.),247
Akutan city,1041
Alabama,4849377
Alabama town,1826
Alabaster city,31545
Alabaster township,479
Alachua city,9561
Alachua County,256380
Alaiedon township,2910
Alakanuk city,726
Alamance County,155792
Alamance village,978
Alameda city,77660
Alameda County,1610921
Alamo city,52
Alamo Heights city,7806
Alamo town,3399
Alamo township,3858
Alamogordo city,31060
Alamosa city,9531
Alamosa County,16177
Alamota township,89
Alango township,259
Alanson village,747
Alapaha town,647
Alaska,736732
Alaska township,221
Alba borough,154
Alba city,540
Alba town,507
Alba town (pt.),2
Alba township,217
Alban town,895
Alban township,580
Albano township,52
Albany city,19488
Albany city (pt.),6814
Albany County,308171
Albany town,2127
Albany town (pt.),1928
Albany township,1052
Albany village,883
Albany village (pt.),863
Albee town,16
Albee township,2087
Albemarle city,15976
Albemarle County,104489
Albers village,1180
Albert city,174
Albert City city,700
Albert Lea city,17815
Albert Lea township,638
Albert township,2405
Alberta city,102
Alberta town,286
Alberta township,840
Albertha township,22
Alberton town,423
Albertville city,21458
Albia city,3782
Albin town,185
Albin township,341
Albion borough,1478
Albion city,272
Albion town,2319
Albion town (pt.),2319
Albion township,2426
Albion village,6007
Albion village (pt.),4654
Alborn township,463
Albright town,303
Albuquerque city,557169
Alburgh town,2008
Alburgh village,499
Alburnett city,690
Alburtis borough,2402
Alcester city,788
Alcester township,296
Alcoa city,8753
Alcona County,10454
Alcona township,927
Alcorn County,37380
Alda village,656
Aldan borough,4166
Alden city,763
Alden town,10629
Alden township,1377
Alden village,2599
Alderson town,292
Alderson town (pt.),979
Aldora town,103
Aldrich city,47
Aldrich township,424
Aldrich village,80
Aledo city,3588
Aleknagik city,226
Aleppo township,1912
Aleutians East Borough,3360
Aleutians West Census Area,5750
Alex town,550
Alex township,84
Alexander city,2864
Alexander city (pt.),234
Alexander City city,14849
Alexander County,7492
Alexander town,490
Alexander township,26
Alexander village,500
Alexander-Belle Prairie township,112
Alexandria Bay village,1101
Alexandria borough,333
Alexandria city,5067
Alexandria town,1629
Alexandria township,910
Alexandria village,177
Alexanter township,28
Alexis township,655
Alexis village,818
Alexis village (pt.),323
Alfalfa County,5790
Alford town,469
Alfordsville town,105
Alfred town,3076
Alfred village,4028
Alfsborg township,314
Algansee township,1947
Alger County,9459
Alger township,38
Alger village,849
Algernon township,300
Algoma city,3117
Algoma town,605
Algoma township,10663
Algona city,5479
Algonac city,4056
Algonquin township,87720
Algonquin village,30410
Algonquin village (pt.),8713
Algood city,3596
Alhambra city,85569
Alhambra township,1646
Alhambra village,665
Alice city,40
Aliceton township,122
Aliceville city,2388
Alicia town,120
Aline town,215
Aliquippa city,9244
Aliso Viejo city,50231
Allagash town,228
Allakaket city,104
Allamakee County,14038
Allamuchy township,4558
Allardt city,630
Allegan city,5070
Allegan County,113847
Allegan township,4490
Allegany County,72952
Allegany Reservation,994
Allegany town,7763
Allegany township,415
Allegany village,1767
Alleghany County,10879
Alleghany township,55
Allegheny County,1231255
Allegheny township,6660
Alleman city,438
Allen city,175
Allen County,365918
Allen Parish,25713
Allen Park city,27566
Allen town,446
Allen town (pt.),135
Allen township,572
Allen village,188
Allendale borough,6789
Allendale charter township,21655
Allendale County,9695
Allendale town,3195
Allendale township,473
Allendale village,461
Allenhurst borough,489
Allenhurst city,700
Allenport borough,530
Allens Grove township,558
Allenstown town,4285
Allentown borough,1807
Allentown city,163
Allentown city (pt.),0
Allenville village,146
Allerton city,497
Allerton village,289
Allerton village (pt.),0
Allgood town,628
Alliance city,8519
Alliance city (pt.),39
Alliance town,761
Alliance township,241
Alligator town,202
Allin township,912
Allis township,919
Allison city,1034
Allison township,260
Allodium township,51
Allouez township,1615
