Clock frequency is approx. 2809.6 MHz
Memory mountain (MB/sec)
	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s40	s41	s42	s43	s44	s45	s46	s47	s48	s49	s50	s51	s52	s53	s54	s55	s56	s57	s58	s59	s60	s61	s62	s63	s64	
32m	7065.5	7041.6	6262.9	5353.2	4305.4	3576.5	3112.8	2672.3	2456.5	2251.4	2090.5	1963.6	1883.0	1769.5	1725.6	1666.9	1522.8	1611.5	1513.8	1549.5	1470.8	1387.7	1577.3	1579.3	1610.0	1409.4	1571.7	1533.4	1661.2	1710.9	1729.8	1357.7	1150.3	1779.5	1918.0	1759.0	1935.3	1912.3	1796.4	1922.0	1967.9	1721.1	1903.3	2082.9	1745.5	1944.7	2047.8	1207.3	2021.6	2003.4	2165.5	2125.5	2206.9	2228.8	2123.8	2261.7	2155.0	2309.4	2112.5	2396.2	2414.1	2517.7	2299.7	1101.0	
16m	7334.7	7028.6	6381.3	5516.9	4636.3	3923.1	3369.2	2874.6	2692.8	2488.1	2320.9	2180.4	2156.7	2067.7	1997.0	1863.5	2047.3	2013.7	1904.8	1910.0	2004.9	2110.7	2182.9	2420.0	2443.1	2476.4	2435.8	2556.2	2752.2	2869.8	2647.0	1392.9	3090.9	3128.6	3166.2	3130.8	3061.2	3227.2	3062.1	3468.3	3281.8	3560.6	3134.9	3505.7	2432.1	3387.5	3364.3	1912.8	3581.8	3693.3	3667.9	3533.6	3191.3	3376.7	3521.7	3715.8	3517.2	3797.7	3732.9	3810.3	3206.9	3715.3	3732.1	1390.1	
8m	6994.7	7059.4	6517.9	5851.5	5181.4	4702.6	4261.2	3483.4	3175.6	3213.2	3121.7	3004.6	2988.1	3046.1	2763.3	2571.2	3268.0	3351.6	3245.7	3411.7	3599.4	3816.1	3721.3	4157.5	3935.1	3791.7	3699.2	4314.7	4119.2	3900.7	4369.6	2233.1	4097.7	4399.6	4212.4	4187.1	3612.2	4399.4	3404.4	4224.2	4015.1	3704.3	4146.5	3851.3	3530.6	4228.8	3611.0	2861.5	3630.8	3434.7	4371.7	4017.6	3916.7	3993.5	3636.9	3692.9	3759.9	3877.1	3642.4	3947.6	3668.9	3576.0	3322.2	1272.8	
4m	7118.5	7559.9	7520.5	7446.2	7437.2	7354.1	7305.9	7110.2	6936.2	6653.2	6338.3	6007.1	5804.5	5632.8	5436.1	5052.8	6339.8	6339.9	6327.6	5025.3	6323.9	6312.0	6302.3	6339.5	6302.8	6302.2	6274.8	6279.4	6262.8	6247.4	6252.7	5363.1	6250.4	6194.0	6240.2	6277.1	6290.9	6300.8	6271.4	4654.9	6320.9	6294.4	6299.7	6348.7	6272.1	6230.7	6340.4	4267.8	4707.1	6293.9	5901.8	5935.0	5966.3	4402.7	5955.2	5954.8	5959.1	4411.9	5956.4	5984.6	5937.9	4363.1	4385.9	3679.4	
2m	7586.4	7586.2	7585.2	7584.5	7582.9	7578.4	7566.5	7536.1	7372.7	7066.4	6270.1	5917.2	6006.5	5755.4	5629.1	5400.3	5323.7	5190.0	5127.0	5033.9	4927.1	4847.6	6305.4	4766.6	4760.0	6278.9	4690.6	6315.6	6317.6	6285.1	6333.5	4412.2	6240.3	6203.9	4656.2	6419.9	4642.3	4694.6	6498.3	6560.1	6602.5	4722.2	4726.7	6807.1	6695.0	6711.4	4723.9	4343.7	7061.3	4772.6	4709.3	7042.1	4779.2	4896.9	7216.5	4881.5	4864.0	4843.2	5005.4	7212.6	4914.0	5065.7	5064.1	4405.4	
1024k	7586.0	7585.4	7581.1	7581.6	7578.3	7576.5	7565.1	7534.3	7348.3	7043.9	6699.2	6327.4	6009.8	5768.1	5636.6	5409.0	5302.3	6392.5	5148.6	5066.4	4986.6	6656.9	6797.6	4831.0	4833.7	7046.4	7068.7	7188.3	7183.7	7282.2	7245.1	4500.4	5054.9	7395.6	5143.1	5264.3	7541.2	7545.9	7539.5	5467.3	7524.0	5686.1	7558.6	5710.9	5700.6	7535.5	6041.6	4703.1	6236.1	6333.4	6284.9	6110.0	6316.4	6357.0	6884.0	6828.4	6794.4	6775.8	6963.0	7114.9	7028.6	6979.3	7148.0	4529.4	
512k	7584.4	7583.2	7584.5	7579.9	7579.6	7572.3	7549.4	7524.3	7412.2	7157.4	6843.6	6540.4	6259.7	6039.6	5882.0	5770.2	7371.7	5639.1	5740.2	5617.0	7516.5	5732.4	7526.6	6074.9	6128.5	6090.3	6270.8	6570.9	7558.2	6610.1	7530.2	4975.3	6917.0	7049.0	7550.1	7114.5	7013.5	7132.2	7399.9	7430.4	7533.2	7397.5	7371.2	7512.6	7512.4	7518.3	7462.1	7157.9	7507.4	7516.8	7507.7	7501.6	7523.6	7504.3	7476.5	7517.3	7521.1	7498.0	7492.7	7521.4	7480.0	7482.7	7486.8	5081.9	
256k	7584.8	7576.2	7582.1	7571.0	7573.6	7555.2	7559.1	7536.9	7523.6	7510.7	6904.7	7466.5	7309.9	7282.1	7270.8	7050.4	7345.4	7144.3	7264.5	7345.9	7394.4	7414.4	7352.6	7410.3	7401.6	7393.9	7390.4	7493.8	7506.8	7471.1	7506.4	6878.6	7496.3	7487.6	7493.2	7501.4	7502.1	7482.8	7487.3	7511.7	7499.6	7480.6	7440.1	7488.4	7500.3	7470.3	7482.8	7469.8	7461.9	7464.6	7486.3	7469.9	7439.0	7460.4	7459.8	7438.7	7481.9	7464.1	7456.9	7399.0	7424.8	7447.5	7385.1	7237.7	
128k	7590.2	7590.7	7587.5	7585.4	7574.8	7561.3	7570.3	7558.6	7560.2	7535.3	7549.8	7532.2	7517.5	7536.7	7526.0	7511.7	7511.0	7518.0	7505.9	7481.1	7480.6	7495.1	7498.3	7106.5	7090.9	7092.1	7084.5	7063.1	7096.9	7070.8	7049.8	7068.8	7083.7	7083.6	7050.3	7067.6	7067.8	7042.3	7039.6	7063.8	7053.7	7040.8	7030.8	7019.2	7028.7	7021.4	7037.8	6991.9	7014.7	7006.5	7017.1	7016.9	7011.1	7000.8	7018.0	6979.2	6960.3	6989.9	6995.6	6957.0	7001.1	6995.8	6981.9	6940.9	
64k	7589.4	7583.5	7572.5	7543.7	7555.4	7534.0	7528.1	7538.8	7518.0	7493.3	7485.0	7495.4	7485.7	7476.7	7457.5	7448.5	7464.4	7432.3	7448.3	7452.7	7453.9	7437.2	7425.3	7425.1	7408.3	7375.1	7379.7	7403.6	7371.4	7348.6	7359.9	7339.3	7357.5	7356.0	7294.7	7304.9	7274.5	7305.7	7261.6	7328.1	7324.1	7220.6	7269.6	7225.3	7278.9	7247.9	7212.8	7235.9	7237.7	7245.1	7249.6	7239.4	7234.6	7220.3	7242.8	7208.7	7173.7	7176.5	7120.1	7185.1	7167.4	7155.9	7179.2	7068.8	
